"eventTime","sourceIPAddress","errorMessage","awsRegion","UserName","MFAUsed"
"2019-03-03T16:27:05Z","2.7.223.252",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/iam/home?state=hashArgs%23%2Froles%2FSummitRouteAudit&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2019-03-03T16:27:05Z","2.7.223.252",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/iam/home?state=hashArgs%23%2Froles%2FSummitRouteAudit&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2019-08-27T14:34:27Z","228.139.46.252",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2019-09-18T04:27:58Z","3.10.240.206",,"us-east-1",,"{""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2019-09-18T04:34:03Z","3.10.240.206",,"us-east-1",,"{""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2019-09-18T04:34:22Z","3.10.240.206",,"us-east-1",,"{""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2019-09-18T04:40:03Z","3.10.240.206",,"us-east-1",,"{""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2020-01-15T10:08:24Z","222.230.154.255","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2020-01-18T07:31:34Z","8.101.151.38","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2020-01-18T07:32:07Z","8.101.151.38","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
