"eventtime","user_arn","bucketName","bucket_acl","sourceipaddress","eventname","awsregion","acl_details","useragent"
"2020-09-01T02:00:11Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-02T02:00:11Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-03T02:00:11Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-04T02:00:11Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-05T02:00:18Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-06T02:00:16Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-07T02:00:14Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-08T02:00:19Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-09T02:00:18Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-10T02:00:17Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-11T02:00:19Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-12T02:00:18Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-13T02:00:19Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-14T02:00:17Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-15T02:00:15Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-16T02:00:17Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-16T22:21:52Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-17T07:32:21Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-17T08:26:04Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-21T15:41:00Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
