"occurrences","user_arn","source_ip_address","user_agent"
"14","arn:aws:iam::811596193553:user/backup","5.180.250.254","aws-cli/1.16.177 Python/3.7.3 Windows/10 botocore/1.12.167"
"14","arn:aws:iam::811596193553:user/backup","254.253.28.219","aws-cli/1.16.102 Python/2.7.16 Linux/4.14.123-111.109.amzn2.x86_64 botocore/1.12.92"
"14","arn:aws:iam::811596193553:user/backup","29.255.148.10","aws-cli/1.16.255 Python/3.7.3rc1 Linux/4.19.0-kali1-amd64 botocore/1.12.245"
"14","arn:aws:iam::811596193553:user/backup","254.254.89.255","aws-cli/1.16.114 Python/3.6.7 Linux/4.15.0-45-generic botocore/1.12.104"
"14","arn:aws:iam::811596193553:user/Level6","233.253.251.0","AWSPowerShell/3.3.563.1 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.53329.0 WindowsPowerShell/5.0 ClientSync"
"14","arn:aws:iam::811596193553:user/backup","252.244.254.16","aws-cli/1.16.196 Python/2.7.16 Linux/4.19.0-kali5-amd64 botocore/1.12.186"
"13","arn:aws:iam::811596193553:user/backup","2.7.1.1","aws-cli/1.18.6 Python/3.6.9 Linux/4.15.0-72-generic botocore/1.15.6"
"12","arn:aws:iam::811596193553:user/backup","1.246.1.165","Boto3/1.7.4 Python/3.6.8 Linux/4.18.0-kali3-amd64 Botocore/1.10.4"
"12","arn:aws:iam::811596193553:user/backup","2.231.90.242","Boto3/1.7.48 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.48"
"12","arn:aws:iam::811596193553:user/backup","250.149.254.7","Boto3/1.7.48 Python/3.7.3 Darwin/17.7.0 Botocore/1.10.48"
"12","arn:aws:iam::811596193553:user/backup","250.130.252.27","aws-cli/1.16.199 Python/3.6.8 Linux/4.18.0-80.4.2.el8_0.x86_64 botocore/1.12.189"
"12","arn:aws:iam::811596193553:user/backup","39.255.46.0","aws-cli/1.16.169 Python/2.7.10 Darwin/18.6.0 botocore/1.12.159"
"12","arn:aws:iam::811596193553:user/Level6","55.250.102.14","aws-sdk-go/1.12.55 (go1.10.3; darwin; amd64)"
"12","arn:aws:iam::811596193553:user/backup","255.253.60.129","aws-cli/1.11.13 Python/3.5.2 Linux/4.4.0-103-generic botocore/1.4.70"
"12","arn:aws:iam::811596193553:user/backup","62.128.119.177","aws-cli/1.16.116 Python/2.7.15rc1 Linux/4.18.0-16-generic botocore/1.12.106"
"12","arn:aws:iam::811596193553:user/backup","255.171.1.252","Botocore/1.15.31 Python/3.8.2 Linux/4.9.184-linuxkit"
"12","arn:aws:iam::811596193553:user/backup","222.205.8.190","aws-cli/1.11.13 Python/3.5.2 Linux/4.4.0-62-generic botocore/1.4.70"
"12","arn:aws:iam::811596193553:user/backup","115.4.190.32","Boto3/1.10.13 Python/2.7.16 Linux/4.17.0-kali1-amd64 Botocore/1.12.14"
"12","arn:aws:iam::811596193553:user/backup","249.9.26.203","aws-cli/2.0.0dev3 Python/3.7.4 Darwin/18.7.0 botocore/2.0.0dev2"
"12","arn:aws:iam::811596193553:user/backup","255.204.230.41","Boto3/1.9.169 Python/3.5.3 Linux/4.9.0-6-amd64 Botocore/1.12.169"
"12","arn:aws:iam::811596193553:user/backup","4.91.139.65","aws-sdk-go/1.23.15 (go1.12.6; linux; amd64) APN/1.0 HashiCorp/1.0 Terraform/0.12.7"
"12","arn:aws:iam::811596193553:user/backup","105.210.167.8","aws-cli/1.11.36 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.4.93"
"12","arn:aws:iam::811596193553:user/backup","9.7.7.109","aws-cli/1.16.198 Python/3.6.8 Linux/3.10.0-957.21.3.el7.x86_64 botocore/1.12.188"
"11","arn:aws:iam::811596193553:user/backup","0.242.203.205","aws-cli/1.16.102 Python/2.7.16 Linux/4.14.154-128.181.amzn2.x86_64 botocore/1.12.92"
"11","arn:aws:iam::811596193553:user/Level6","16.12.99.2","Boto3/1.7.4 Python/3.6.5 Linux/4.15.0-39-generic Botocore/1.10.4"
"11","arn:aws:iam::811596193553:user/backup","7.182.255.61","aws-cli/1.18.6 Python/3.6.9 Linux/4.15.0-74-generic botocore/1.15.6"
"11","arn:aws:iam::811596193553:user/backup","0.182.29.72","aws-cli/1.16.260 Python/3.7.4 Darwin/18.7.0 botocore/1.12.250"
